,Parking,Swimming Pool,Restaurant,Room Service,Fitness Centre,Spa & Wellness Centre,Business Centre,Facilities for Disabled,Airport Shuttle,Non-smoking Rooms,Babysitting/Child Services,Meeting/Banquet Facilities,Car Rental,Breakfast Buffet,Bar/Lounge,Kids Activities,Game Room,Dry Cleaning,Valet Parking,name,rate,review,Highspeed Internet,Airconditioning,Safe/Vault,Tennis Court,Indoor Pool,Pet-friendly,Casino,Golfcourse,Beach Access,Ski-In Ski-Out
50,1.0,1.0,,1.0,1.0,,,1.0,,1.0,,1.0,,,,,,,,Braira Al Wezarat,8.4,4149 reviews,1.0,1.0,1.0,,,,0.0,0.0,0.0,0.0
51,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,,,1.0,,Aber 102,8.9,878 reviews,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0
52,1.0,1.0,,1.0,,,,,1.0,,,1.0,,,,,,,1.0,Enala Resort,7.9,53 reviews,1.0,1.0,,,1.0,,0.0,0.0,0.0,0.0
53,1.0,,,,,,,1.0,,1.0,,,,,,,,,,Al Muteb Suites Al Yarmouk,N/A,N/A,1.0,1.0,,,,,0.0,0.0,0.0,0.0
54,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,,,,,1.0,,Hilton Garden Inn Riyadh Financial District,7.8,2471 reviews,1.0,1.0,1.0,,1.0,,0.0,0.0,0.0,0.0
55,,,,,,,,,,,,,,,,,,,,Cristal Amaken Hotel,8.4,22 reviews,,1.0,,,,,0.0,0.0,0.0,0.0
56,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,1.0,,Braira Hotel Olaya - By Boudl,8.4,4315 reviews,1.0,,,,,,0.0,0.0,0.0,0.0
57,,1.0,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,,1.0,,1.0,1.0,,Awfad Hotel Riyadh,7.4,2707 reviews,1.0,,1.0,,,,0.0,0.0,0.0,0.0
58,1.0,,,,,1.0,,,,1.0,,,,,,,,,,The O Tower Residence,N/A,N/A,,,1.0,,,,0.0,0.0,0.0,0.0
59,,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,,1.0,1.0,Boudl Al Woroud ,8.0,636 reviews,1.0,,,,,,0.0,0.0,0.0,0.0
60,1.0,,,1.0,,,,,,1.0,,,,,,,,1.0,,Rukon Buyutat 15,7.0,152 reviews,1.0,1.0,1.0,,,,0.0,0.0,0.0,0.0
61,1.0,,,1.0,1.0,,,1.0,,1.0,,,,,,,,,,Anan Hotel,7.5,1539 reviews,1.0,1.0,,,1.0,,0.0,0.0,0.0,0.0
62,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,,,,,1.0,1.0,Four Seasons Hotel Riyadh,8.9,3197 reviews,1.0,1.0,1.0,,,1.0,0.0,0.0,0.0,0.0
63,1.0,,,,,,,1.0,,1.0,,,,,,,,1.0,,Rihanna Inn Hotel Apartement,N/A,N/A,1.0,1.0,,,,,0.0,0.0,0.0,0.0
64,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,,1.0,1.0,Jareed Hotel Riyadh,9.0,1443 reviews,1.0,1.0,1.0,,,,0.0,0.0,0.0,0.0
65,,,,,,,,,,,,,,,,,,,,Karem Riyadh Residence - Hotel Apartment,N/A,N/A,,,,,,,0.0,0.0,0.0,0.0
66,1.0,,,,,1.0,,,,,,,,,,,,,1.0,Hotel Vivian Park El Raed,N/A,N/A,,,,,,,0.0,0.0,0.0,0.0
67,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,,1.0,1.0,,,1.0,,Super 8 by Wyndham Al Riyadh,7.3,645 reviews,1.0,,,,,,0.0,0.0,0.0,0.0
68,,,,,,,,,,,,,,,,,,,,Namar Home Serviced Suites,N/A,N/A,,,,,,,0.0,0.0,0.0,0.0
69,,,1.0,1.0,,,,,,1.0,,,,,,,,1.0,,Erfad Hotel,N/A,N/A,1.0,1.0,1.0,,,,0.0,0.0,0.0,0.0
70,1.0,1.0,,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,1.0,,Boudl Al Fayhaa,6.0,1590 reviews,1.0,,,,,,0.0,0.0,0.0,0.0
71,1.0,,,1.0,,,1.0,1.0,,1.0,,,,,,1.0,1.0,1.0,,Ewaa Express Hotel - Gaber,8.7,2032 reviews,1.0,1.0,1.0,,,,0.0,0.0,0.0,0.0
72,1.0,,,,,,1.0,1.0,,1.0,,,,,,,,1.0,,Celine Home Hotel,N/A,N/A,1.0,1.0,1.0,,,,0.0,0.0,0.0,0.0
73,1.0,,,1.0,,,,,,1.0,,,1.0,,,,,1.0,,Al Muteb Suites Khurais,5.1,220 reviews,1.0,1.0,1.0,,,,0.0,0.0,0.0,0.0
74,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,,Centro Olaya by Rotana,7.9,3325 reviews,1.0,1.0,,,,,0.0,0.0,0.0,0.0
75,1.0,,,1.0,,,1.0,1.0,,1.0,,,,,,,,1.0,,Almasem Luxury Hotel suite 6,7.3,1696 reviews,1.0,1.0,1.0,,,,0.0,0.0,0.0,0.0
76,1.0,,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,1.0,1.0,Mena Hotel Nasiriah Riyadh,8.2,3656 reviews,1.0,1.0,1.0,,,,0.0,0.0,0.0,0.0
77,,,,,,,,,,,,,,,,,,,,Namar Home Serviced Suites,N/A,N/A,,,,,,,0.0,0.0,0.0,0.0
78,1.0,,,,,,,1.0,,,,,,,,,,1.0,,AlMuhaidb Nadwaa Aparthotel,7.0,511 reviews,1.0,1.0,1.0,,,,0.0,0.0,0.0,0.0
79,1.0,1.0,1.0,,,,,,,1.0,,,,,1.0,,,,,Braira Al Nakheel Hotel,9.0,6866 reviews,1.0,1.0,,,,,0.0,0.0,0.0,0.0
